Word,Gender,WdNum,ValMn,ValSd,AroMn,AroSD,DomMN,DomSD,Frequency
bed,All,549,7.51,1.38,3.61,2.56,6.88,1.78,127
bed,Male,549,7.88,1.09,4.04,2.85,7.0,1.87,127
bed,Female,549,7.15,1.54,3.19,2.23,6.77,1.73,127
bees,All,583,3.2,2.07,6.51,2.14,4.16,2.11,15
bees,Male,583,3.24,2.07,6.72,2.3,4.56,2.31,15
bees,Female,583,3.15,2.11,6.31,2.0,3.77,1.86,15
beggar,All,36,3.22,2.02,4.91,2.45,4.09,2.38,2
beggar,Male,36,3.95,2.04,4.0,1.92,4.6,2.19,2
beggar,Female,36,2.65,1.85,5.62,2.61,3.68,2.5,2
bench,All,655,4.61,1.4,3.59,2.07,4.68,1.38,35
bench,Male,655,4.56,1.34,3.33,1.78,5.06,1.59,35
bench,Female,655,4.65,1.47,3.77,2.27,4.42,1.17,35
bereavement,All,656,4.57,1.7,4.2,2.15,4.33,1.73,4
bereavement,Male,656,4.63,1.54,4.26,2.16,3.95,1.72,4
bereavement,Female,656,4.52,1.85,4.5,1.89,4.62,1.71,4
betray,All,37,1.68,1.02,7.24,2.06,4.92,2.97,4
betray,Male,37,1.85,1.14,7.17,2.08,5.75,1.91,4
betray,Female,37,1.6,0.96,7.28,2.09,4.54,3.31,4
beverage,All,657,6.83,1.48,5.21,2.46,5.63,2.17,5
beverage,Male,657,6.8,1.54,5.55,2.37,5.8,2.04,5
beverage,Female,657,6.86,1.46,5.14,2.37,5.48,2.32,5
bird,All,38,7.27,1.36,3.17,2.23,4.42,2.26,31
bird,Male,38,6.92,1.38,2.67,2.02,4.58,2.47,31
bird,Female,38,7.41,1.35,3.39,2.31,4.36,2.21,31
birthday,All,39,7.84,1.92,6.68,2.11,5.89,2.61,18
birthday,Male,39,7.4,2.82,6.6,2.13,5.4,2.64,18
birthday,Female,39,8.13,0.97,6.74,2.14,6.22,2.59,18
black,All,543,5.39,1.8,4.61,2.24,5.14,1.79,203
black,Male,543,5.92,1.38,4.54,2.21,5.88,1.57,203
black,Female,543,4.88,2.03,4.68,2.32,4.44,1.73,203
blackmail,All,40,2.95,1.95,6.03,2.7,3.54,2.67,2
blackmail,Male,40,3.0,1.56,5.2,2.78,3.0,2.26,2
blackmail,Female,40,2.93,2.09,6.31,2.66,3.72,2.81,2
bland,All,658,4.1,1.08,3.29,1.89,4.88,1.27,3
bland,Male,658,4.1,1.02,3.45,2.19,4.95,1.23,3
bland,Female,658,4.09,1.15,3.14,1.61,4.82,1.33,3
blase,All,41,4.89,1.16,3.94,1.76,4.57,1.44,7
blase,Male,41,5.0,1.32,4.35,1.69,4.38,1.93,7
blase,Female,41,4.79,1.03,3.58,1.77,4.74,0.87,7
blasphemy,All,659,3.75,2.26,4.93,2.34,4.75,1.59,4
blasphemy,Male,659,3.65,2.11,4.55,2.37,4.75,1.83,4
blasphemy,Female,659,3.83,2.43,5.25,2.31,4.75,1.39,4
bless,All,42,7.19,1.69,4.05,2.59,5.52,2.22,9
bless,Male,42,6.35,2.18,4.12,2.29,5.29,2.05,9
bless,Female,42,7.73,1.0,4.0,2.83,5.68,2.36,9
blind,All,43,3.05,1.99,4.39,2.36,3.28,1.91,47
blind,Male,43,2.71,1.83,3.69,2.18,3.06,1.91,47
blind,Female,43,3.35,2.11,4.95,2.39,3.45,1.93,47
bliss,All,660,6.95,2.24,4.41,2.95,6.12,2.15,4
bliss,Male,660,7.17,1.79,5.06,3.06,6.5,2.23,4
bliss,Female,660,6.8,2.53,4.12,2.79,5.84,2.1,4
blister,All,661,2.88,1.75,4.1,2.34,3.98,1.9,3
blister,Male,661,3.48,1.91,3.81,2.11,4.38,1.99,3
blister,Female,661,2.25,1.33,4.4,2.58,3.55,1.76,3
blond,All,662,6.43,2.04,5.07,2.7,5.74,1.67,11
blond,Male,662,6.64,2.44,6.05,2.79,6.0,2.05,11
blond,Female,662,6.2,1.51,4.0,2.2,5.45,1.1,11
bloody,All,584,2.9,1.98,6.41,2.0,3.96,1.89,8
bloody,Male,584,3.76,2.3,6.32,2.36,4.32,1.91,8
bloody,Female,584,2.08,1.16,6.5,1.63,3.62,1.83,8
blossom,All,44,7.26,1.18,5.03,2.65,5.53,2.21,7
blossom,Male,44,7.53,1.41,5.67,3.02,5.53,2.29,7
blossom,Female,44,7.09,1.0,4.61,2.35,5.52,2.21,7
blubber,All,663,3.52,1.99,4.57,2.38,3.86,1.97,1
blubber,Male,663,3.83,2.09,4.56,2.15,4.5,1.92,1
blubber,Female,663,3.31,1.93,4.58,2.56,3.42,1.92,1
blue,All,544,6.76,1.78,4.31,2.2,5.63,1.64,143
blue,Male,544,7.16,1.52,4.0,2.08,5.92,1.38,143
blue,Female,544,6.38,1.96,4.62,2.32,5.35,1.83,143
board,All,664,4.82,1.23,3.36,2.12,4.98,1.77,239
board,Male,664,4.58,1.22,3.26,1.94,4.63,2.01,239
board,Female,664,5.0,1.23,3.56,2.22,5.24,1.56,239
body,All,665,5.55,2.37,5.52,2.63,5.34,2.12,276
body,Male,665,5.75,2.47,5.6,2.78,5.25,2.22,276
body,Female,665,5.38,2.32,5.46,2.55,5.42,2.08,276
bold,All,45,6.8,1.61,5.6,2.21,6.67,1.81,21
bold,Male,45,6.25,1.71,4.75,2.53,6.92,1.38,21
bold,Female,45,7.0,1.55,5.94,2.02,6.58,1.96,21
bomb,All,46,2.1,1.19,7.15,2.4,4.54,2.88,36
bomb,Male,46,2.7,1.16,6.7,2.41,4.6,1.35,36
bomb,Female,46,1.9,1.14,7.31,2.42,4.52,3.27,36
book,All,47,5.72,1.54,4.17,2.49,5.3,2.05,193
book,Male,47,5.9,1.83,4.15,2.3,5.15,1.84,193
book,Female,47,5.55,1.19,4.2,2.73,5.45,2.28,193
bored,All,48,2.95,1.35,2.83,2.31,4.11,1.7,14
bored,Male,48,2.82,1.47,2.88,2.28,4.06,1.48,14
bored,Female,48,3.05,1.28,2.8,2.4,4.15,1.9,14
bottle,All,666,6.15,1.49,4.79,2.44,4.78,1.65,76
bottle,Male,666,6.09,1.54,5.45,1.9,4.68,1.78,76
bottle,Female,666,6.21,1.47,4.26,2.7,4.89,1.52,76
bouquet,All,667,7.02,1.84,5.46,2.47,6.15,1.8,4
bouquet,Male,667,6.52,1.99,5.1,2.41,6.24,1.41,4
bouquet,Female,667,7.55,1.54,5.85,2.54,6.05,2.16,4
bowl,All,49,5.33,1.33,3.47,2.12,4.69,1.67,23
bowl,Male,49,4.8,0.63,3.4,2.12,5.0,1.56,23
bowl,Female,49,5.54,1.48,3.5,2.16,4.58,1.72,23
boxer,All,585,5.51,1.8,5.12,2.26,5.1,1.64,1
boxer,Male,585,6.12,1.51,5.2,2.25,5.48,1.9,1
boxer,Female,585,4.92,1.9,5.04,2.31,4.73,1.28,1
boy,All,50,6.32,1.6,4.58,2.37,5.34,2.2,242
boy,Male,50,5.4,0.74,3.73,2.09,4.33,2.02,242
boy,Female,50,6.91,1.73,5.13,2.42,6.0,2.09,242
brave,All,668,7.15,1.64,6.15,2.45,7.22,1.86,24
brave,Male,668,6.76,2.02,5.95,2.6,7.14,1.9,24
brave,Female,668,7.55,1.0,6.35,2.32,7.3,1.87,24
breast,All,51,6.5,1.78,5.37,2.39,5.39,2.27,11
breast,Male,51,8.13,1.3,6.8,2.21,6.07,2.22,11
breast,Female,51,5.43,1.12,4.43,2.04,4.96,2.25,11
breeze,All,669,6.85,1.71,4.37,2.32,5.54,1.67,14
breeze,Male,669,6.52,1.97,4.29,2.15,5.57,1.63,14
breeze,Female,669,7.2,1.36,4.45,2.54,5.5,1.76,14
bride,All,670,7.34,1.71,5.55,2.74,5.74,2.36,33
bride,Male,670,6.7,1.92,4.7,2.56,5.84,2.14,33
bride,Female,670,7.88,1.33,6.25,2.74,5.67,2.57,33
bright,All,671,7.5,1.55,5.4,2.33,6.34,1.82,87
bright,Male,671,7.05,1.61,5.45,2.21,6.15,1.14,87
bright,Female,671,7.91,1.41,5.62,2.22,6.52,2.32,87
broken,All,672,3.05,1.92,5.43,2.42,4.14,1.62,63
broken,Male,672,3.5,2.26,5.39,2.45,4.17,1.98,63
broken,Female,672,2.73,1.61,5.46,2.44,4.12,1.37,63
brother,All,52,7.11,2.17,4.71,2.68,5.12,2.31,73
brother,Male,52,6.83,1.53,5.55,2.07,5.36,1.36,73
brother,Female,52,7.26,2.45,4.3,2.88,5.0,2.66,73
brutal,All,53,2.8,1.9,6.6,2.36,4.59,2.7,7
brutal,Male,53,3.25,1.94,5.65,2.6,5.2,2.09,7
brutal,Female,53,2.46,1.84,7.36,1.87,4.12,3.04,7
building,All,550,5.29,1.15,3.92,1.94,5.25,1.57,160
building,Male,550,5.56,1.23,4.08,2.12,5.24,1.54,160
building,Female,550,5.04,1.04,3.77,1.77,5.27,1.64,160
bullet,All,673,3.29,2.06,5.33,2.48,3.9,2.61,28
bullet,Male,673,4.2,1.96,5.45,1.99,5.2,2.4,28
bullet,Female,673,2.45,1.82,5.48,2.71,2.67,2.2,28
bunny,All,54,7.24,1.32,4.06,2.61,4.97,2.18,1
bunny,Male,54,6.71,1.05,4.38,2.6,4.88,2.06,1
bunny,Female,54,7.7,1.38,3.8,2.65,5.05,2.33,1
burdened,All,55,2.5,1.32,5.63,2.07,5.03,2.35,4
burdened,Male,55,2.71,0.91,5.46,2.26,5.62,2.14,4
burdened,Female,55,2.38,1.5,5.72,2.01,4.72,2.44,4
burial,All,56,2.05,1.41,5.08,2.4,3.55,1.95,11
burial,Male,56,2.62,1.85,4.64,2.56,3.92,1.98,11
burial,Female,56,1.77,1.07,5.32,2.32,3.36,1.96,11
burn,All,586,2.73,1.72,6.22,1.91,4.22,1.83,15
burn,Male,586,3.12,1.99,6.4,1.85,4.52,1.98,15
burn,Female,586,2.35,1.35,6.04,1.99,3.92,1.65,15
bus,All,541,4.51,1.57,3.55,1.8,4.84,1.75,34
bus,Male,541,4.72,1.28,3.32,1.99,5.04,1.93,34
